Category,Longitude,Latitude,Name
1,-76.30000305,27.89999962,ABLE
1,-77.69999695,28.5,ABLE
1,-78.80000305,29.10000038,ABLE
1,-79.5,29.79999924,ABLE
1,-79.90000153,30.70000076,ABLE
1,-80.80000305,32.90000153,ABLE
1,-60.5,20.10000038,BAKER
1,-61.20000076,21.10000038,BAKER
1,-62.09999847,22,BAKER
1,-63,22.79999924,BAKER
1,-64.19999695,23.70000076,BAKER
1,-65.30000305,24.5,BAKER
1,-66.30000305,25.20000076,BAKER
1,-67.09999847,25.89999962,BAKER
1,-68,26.5,BAKER
1,-69,27.39999962,BAKER
1,-69.80000305,28.39999962,BAKER
1,-70.40000153,29.5,BAKER
1,-70.69999695,30.70000076,BAKER
1,-70.90000153,31.60000038,BAKER
1,-71.09999847,32.20000076,BAKER
1,-71.19999695,32.70000076,BAKER
1,-71,33.09999847,BAKER
1,-70.69999695,33.40000153,BAKER
1,-70.40000153,33.70000076,BAKER
1,-69.69999695,34.29999924,BAKER
1,-69,35.09999847,BAKER
1,-48.90000153,48,BAKER
1,-47.29999924,50,BAKER
1,-47,51.79999924,BAKER
1,-46,53.79999924,BAKER
1,-45,55.79999924,BAKER
1,-74.59999847,26.5,CHARLIE
1,-74.90000153,27.20000076,CHARLIE
1,-55.5,40.29999924,CHARLIE
1,-54.09999847,40.59999847,CHARLIE
1,-52.90000153,40.59999847,CHARLIE
1,-50.5,17.39999962,EASY
1,-50.5,17.70000076,EASY
1,-49.79999924,18.10000038,EASY
1,-82,17.60000038,FOX
1,-79.90000153,23.39999962,FOX
1,-79.30000305,23.89999962,FOX
1,-77.5,24.70000076,FOX
1,-76.59999847,24.79999924,FOX
1,-76.19999695,24.70000076,FOX
1,-75.90000153,24.60000038,FOX
1,-75.59999847,24.5,FOX
1,-75.19999695,24.39999962,FOX
1,-75.90000153,29.79999924,BARBARA
1,-76.09999847,30.5,BARBARA
1,-76.30000305,31.29999924,BARBARA
1,-76.5,32.29999924,BARBARA
1,-76.40000153,33.40000153,BARBARA
1,-76.19999695,34.59999847,BARBARA
1,-76.09999847,35,BARBARA
1,-76.09999847,35.40000153,BARBARA
1,-76,35.59999847,BARBARA
1,-75.90000153,36.09999847,BARBARA
1,-75.69999695,36.59999847,BARBARA
1,-74.90000153,37.59999847,BARBARA
1,-73,38.70000076,BARBARA
1,-70.5,40.09999847,BARBARA
1,-45,14,CAROL
1,-46.59999847,14,CAROL
1,-70.5,37,CAROL
1,-70,38.79999924,CAROL
1,-68.40000153,40.59999847,CAROL
1,-66.80000305,43.40000153,CAROL
1,-66.40000153,44.20000076,CAROL
1,-65.80000305,45.29999924,CAROL
1,-70.5,23.89999962,DOLLY
1,-70.80000305,24.89999962,DOLLY
1,-70.5,25.89999962,DOLLY
1,-69.90000153,27,DOLLY
1,-69,28.5,DOLLY
1,-67.80000305,29.89999962,DOLLY
1,-66.80000305,20.89999962,EDNA
1,-68,21.89999962,EDNA
1,-69.09999847,22.89999962,EDNA
1,-70,23.70000076,EDNA
1,-70.80000305,24.60000038,EDNA
1,-56.09999847,38.90000153,EDNA
